source;target;value
40417;40386;1
40418;40386;1
40419;40386;1
40420;40386;1
40421;40386;1
40422;40386;1
40423;40386;1
40424;40386;1
40425;40454;1
40425;40400;1
40426;40454;1
40426;40400;1
41547;40428;1
41547;40439;1
41547;40452;1
41548;40428;1
41548;40439;1
41548;40452;1
41549;40428;1
41549;40439;1
41549;40452;1
41550;40428;1
41550;40439;1
41550;40452;1
41551;40428;1
41551;40439;1
41551;40452;1
41552;40428;1
41552;40439;1
41552;40452;1
41553;40428;1
41553;40439;1
41553;40452;1
41554;40428;1
41554;40439;1
41554;40452;1
41555;40467;1
41556;40467;1
41557;40479;1
41558;40479;1
41559;40504;1
41559;40570;1
41560;40530;1
41561;40541;1
41562;40596;1
41563;40610;1
41564;40620;1
41565;40620;1
41566;40629;1
41567;40629;1
41568;40640;1
41569;40685;1
41570;40710;1
41571;40731;1
41572;40739;1
41573;40765;1
41573;40879;1
41574;40868;1
41575;40868;1
41576;40868;1
41577;40868;1
41578;40882;1
41579;40894;1
41580;40894;1
41581;40918;1
41582;40927;1
41583;40937;1
41584;40941;1
41585;40950;1
41586;40950;1
41587;40954;1
41588;40985;1
41589;41036;1
41590;41036;1
41591;41036;1
41592;41066;1
41593;41087;1
41594;41097;1
41595;41102;1
41596;41112;1
41597;41132;1
41598;41144;1
41599;41144;1
41600;41171;1
41601;41171;1
41602;41195;1
41603;41225;1
41604;41261;1
41605;41261;1
41606;41261;1
41607;41261;1
41608;41261;1
41609;41364;1
41610;41377;1
41611;41408;1
41612;41408;1
41613;41408;1
41614;41408;1
41615;41408;1
41616;41408;1
41617;41408;1
41618;41448;1
41619;41534;1
41620;41534;1
40385;40386;1
40387;40386;1
40388;40386;1
40389;40386;1
40390;40386;1
40391;40386;1
40392;40386;1
40393;40386;1
40394;40386;1
40395;40386;1
40396;40386;1
40397;40386;1
40398;40386;1
40399;40400;1
40401;40400;1
40402;40400;1
40403;40400;1
40404;40400;1
40405;40400;1
40406;40400;1
40407;40400;1
40408;40400;1
40409;40400;1
40410;40400;1
40411;40400;1
40412;40400;1
40413;40400;1
40414;40400;1
40415;40400;1
40416;40400;1
40427;40428;1
40429;40428;1
40430;40428;1
40431;40428;1
40432;40428;1
40433;40428;1
40434;40428;1
40435;40428;1
40436;40428;1
40437;40428;1
40438;40439;1
40438;40452;1
40440;40439;1
40440;40452;1
40441;40439;1
40441;40452;1
40442;40439;1
40442;40452;1
40442;40454;1
40443;40439;1
40443;40452;1
40444;40439;1
40444;40452;1
40445;40439;1
40445;40452;1
40446;40439;1
40446;40452;1
40446;40454;1
40447;40439;1
40447;40452;1
40448;40439;1
40448;40452;1
40448;40454;1
40449;40439;1
40449;40452;1
40450;40439;1
40450;40452;1
40451;40439;1
40451;40452;1
40453;40454;1
40455;40454;1
40456;40454;1
40457;40454;1
40458;40454;1
40459;40454;1
40460;40454;1
40461;40454;1
40462;40454;1
40463;40454;1
40464;40454;1
40465;40454;1
40466;40467;1
40468;40467;1
40469;40467;1
40470;40467;1
40471;40467;1
40472;40467;1
40473;40467;1
40474;40467;1
40475;40467;1
40476;40467;1
40477;40467;1
40478;40479;1
40480;40479;1
40481;40479;1
40482;40479;1
40483;40479;1
40484;40479;1
40485;40479;1
40486;40479;1
40487;40479;1
40488;40479;1
40489;40479;1
40490;40479;1
40491;40479;1
40492;40479;1
40493;40479;1
40494;40479;1
40495;40479;1
40496;40479;1
40497;40479;1
40498;40479;1
40499;40479;1
40500;40479;1
40501;40479;1
40502;40479;1
40503;40504;1
40505;40504;1
40506;40504;1
40507;40504;1
40508;40504;1
40509;40504;1
40510;40504;1
40511;40504;1
40512;40504;1
40513;40504;1
40514;40504;1
40515;40504;1
40516;40504;1
40517;40504;1
40518;40504;1
40519;40504;1
40520;40504;1
40521;40504;1
40521;40541;1
40522;40504;1
40523;40504;1
40524;40504;1
40525;40504;1
40526;40504;1
40527;40504;1
40528;40504;1
40529;40530;1
40531;40530;1
40532;40530;1
40533;40530;1
40534;40530;1
40534;40570;1
40535;40530;1
40535;40570;1
40536;40530;1
40537;40530;1
40538;40530;1
40539;40530;1
40540;40541;1
40542;40541;1
40543;40541;1
40544;40541;1
40545;40541;1
40546;40541;1
40547;40541;1
40548;40541;1
40549;40541;1
40550;40541;1
40551;40541;1
40552;40541;1
40553;40541;1
40554;40541;1
40555;40541;1
40556;40541;1
40557;40541;1
40558;40541;1
40559;40541;1
40560;40541;1
40561;40541;1
40562;40541;1
40563;40541;1
40564;40541;1
40565;40541;1
40565;40570;1
40566;40541;1
40567;40541;1
40568;40541;1
40569;40570;1
40571;40570;1
40572;40570;1
40573;40570;1
40574;40570;1
40575;40570;1
40576;40570;1
40577;40570;1
40578;40570;1
40579;40570;1
40580;40570;1
40581;40570;1
40582;40570;1
40583;40570;1
40584;40570;1
40585;40570;1
40586;40570;1
40587;40570;1
40588;40570;1
40589;40570;1
40590;40570;1
40591;40570;1
40592;40570;1
40593;40570;1
40594;40570;1
40595;40596;1
40597;40596;1
40598;40596;1
40599;40596;1
40600;40596;1
40601;40596;1
40602;40596;1
40603;40596;1
40604;40596;1
40605;40596;1
40606;40596;1
40607;40596;1
40608;40596;1
40609;40610;1
40611;40610;1
40612;40610;1
40613;40610;1
40614;40610;1
40615;40610;1
40616;40610;1
40617;40610;1
40618;40610;1
40619;40620;1
40621;40620;1
40622;40620;1
40622;40739;1
40623;40620;1
40624;40620;1
40625;40620;1
40626;40620;1
40627;40620;1
40628;40629;1
40630;40629;1
